english,chinese
a new student,一个新学生
a new teacher,一个新老师
I’m new here. ,我是新来的.
Welcome to our school.,欢迎到我们学校.
excuse me,打扰一下
the boy in the tree,树上的那个男孩
let me see,让我看看
come down,下来
climb trees,爬树
in the zoo,在动物园里
come here,过来
the man over there,那边的那个男人
good evening,晚上好
at a party,在聚会上
my brother,我的弟弟/哥哥
the boy with big eyes,大眼睛的那个男孩
nice to meet you,见到你很高兴
the one in the white skirt,那个穿着白色短裙的
which one,哪一个
the man with a big mouth,那个大嘴巴的男人
the one in red,那个穿红衣服的
the girl with a small nose,那个小鼻子的女孩
the woman with long hair,那个长头发的妇女
be late for school,上学迟到
the boy with big ears,大耳朵的那个男孩
the one in the green shirt,那个穿着绿色衬衫的男人
in the car,在小汽车里
my good friend,我的好朋友
her small eye,她的小眼睛
a big nose,一个大鼻子
You’re right. ,你是对的
an old woman,一个老太太
buy fruit,买水果
some grapes,一些葡萄
how many kilos,多少公斤
three kilos,三公斤
I’d like,我想要
Here you are.,给你.
these apples,这些苹果
those oranges,那些桔子
these or those,这些还是那些
Can I help you?,我能为你效劳吗? (营业员用语)
by taxi,坐出租车
on foot,步行
go by taxi,坐出租车去
go to the theatre,去剧院
go there,去那儿
go to the Great Wall,去长城
go to the supermarket,去超市
this train for Shanghai,去上海的火车
the plane for Beijing,去北京的航班
good idea,好主意
play football,踢足球
in the school,在学校
be free,有空 .
go to school by bike,骑自行车去学校
at a snack bar,在一家小吃店(快餐店)里
how about---? ------,怎么样?
some noodles,一些面条
Something to drink,一些喝的东西
something to eat,一些吃的东西
orange/apple juice,桔汁/苹果汁
Anything else?,还要别的东西吗?
a cup of coffee/ tea,一杯咖啡/茶
a glass of milk/ juice,一杯牛奶/果汁
some chocolate,一些巧克力
some sweets,一些糖果
some water,一些水
play basketball,打篮球
some cakes,一些蛋糕
get up,起床
have some juice,喝点果汁
What would you like?,你要什么?
open day,接待日
our classroom,我们的教室
watch TV,看电视
big and bright,又大又明亮
in your classroom,在你的教室里
in class,在课上
near the window,靠近窗
some songbooks,一些歌本
on the piano,在钢琴上
lots of books,许多书
in the library,在图书馆里
in the playground,在操场上
On the chair,在椅子上
on the table,在桌上
open the blue box,打开蓝色的盒子
in the cupboard,在碗柜里
on the table,在桌上
in the fridge,在冰箱里
on the sofa,在沙发上
use chopsticks,用筷子
I’d like to try. ,我想试试.
a pair of chopsticks,一双筷子
Let me try again.,让我再试试.
in my classroom,在我的教室里
Good idea!,好主意!
the first day of the new term,新学期的第一天
all the students,所有的学生
at school,在学校
see each other,互相见面
a new building,一座新大楼
a lot of,许多
I’m not sure. ,我不确定。
go and see,去看看
have a look,看一看
how many,多少
near your house,在你的房子附近
on the plate,在盘子里
her parents,她的父母
near her school,在她的学校附近
very much,"很,非常"
some dolls,一些洋娃娃
on the wall,在墙上
a map of the world,一幅世界地图
a map of China,一幅中国地图
behind the door,在门后
in the basketball,在篮子里
under the bed,在床下
on my chair,在我的椅子上
in the cat’s mouth,在猫的嘴里
look happy,看起来快乐
at a Music lesson,在一节音乐课上
two o’clock in the afternoon ,下午两点钟
in the music room,在音乐室里
have a music lesson,上一节音乐课
sing a song,"唱首歌,唱歌"
follow me,跟着我
sing together,一起唱
make a puppet,做木偶
make a model plane,做飞机模型，做模型飞机
play the violin,拉小提琴
play the guitar,弹吉他
play the piano,弹钢琴
put a book on your head,在你头上放一本书
have an ice cream,吃冰淇淋
after class,下课后
play basketball,打篮球
a Halloween party,一个万圣节聚会
What do they need?,他们需要什么？
like masks,喜欢面具
