english,chinese,unit
go to the park,去公园,x222
climb trees,爬树,x222
Be quiet,保持安静,x222
Do not touch,不要摸,x222
No parking,禁止停车,x222
keep off the grass,不践踏草坪,x222
No littering,禁止扔杂物,x222
No smoking,禁止吸烟,x222
at once,立刻，马上,x222
wrong number,打错电话,x222
feel ill,感觉病了,x222
open your mouth,张开嘴,x222
go to see a doctor,去看医生,x222
go to the hospital,去医院,x222
a bad cough,严重的咳嗽,x222
have a good rest,好好休息,x222
No eating and drinking,禁止吃喝,x222
welcome back to school,欢迎回到学校,x222
a new term,新学期,x222
in a week,在一周内,x222
eight subjects,八门课,x222
eight lessons,八节课,x222
what subjects,什么科目,x222
her students,她的学生,x222
the first lesson,第一节课,x222
Monday morning,星期一上午,x222
on Monday morning,在星期一上午,x222
take some medicine,吃药,x222
after lunch,午饭以后,x222
stay in bed,呆在床上,x222
the same hobby,相同的爱好,x222
a telephone call,一次电话通话,x222
in the  garden,在花园里,x222
water the flowers,浇花,x222
animal stamps,动物邮票,x222
cook food,做饭,x222
show…to…,出示…给…看,x222
grow flowers,种花,x222
Ben’s hobby Ben,的爱好,x222
some hobbies,一些爱好,x222
make clothes,做衣服,x222
wash clothes,洗衣服,x222
collect Chinese stamps,收集中国邮票,x222
many beautiful stamps,许多漂亮的邮票,x222
go shopping,购物,x222
collect stamps,收集邮票,x222
dance beautifully,跳舞跳得美,x222
take photos,拍照,x222
walk carefully,走路小心,x222
sit quietly,安静地坐,x222
run fast,跑得快,x222
jump high,跳得高,x222
from Monday to Friday,从周一到周五,x222
speak loudly,大声地说,x222
the same age,相同的年龄,x222
at school,在学校,x222
live in,居住,x222
a small town,一个小镇,x222
write a letter,写信,x222
play table tennis,打乒乓,x222
an English friend,一个英国朋友,x222
write an e-mail,发邮件,x222
every five minutes,每五分钟,x222
take bus No.5,乘5路车,x222
in the street,在街上,x222
in front of the cinema,在电影院前,x222
a new student,一个新学生,x222
a new teacher,一个新老师,x222
a big nose,一个大鼻子,x222
excuse me,打扰一下,x222
the boy in the tree,树上的那个男孩,x222
come down,下来,x222
climb trees,爬树,x222
come here,过来,x222
in the zoo,在动物园里,x222
the following week,下周,x222
the man over there,那边的那个男人,x222
the girl in a white skirt,那个穿白色短裙的女孩,x222
the boy with big eyes,大眼睛的那个男孩,x222
my brother,我的弟弟/哥哥,x222
which one,哪一个,x222
at a party,在聚会上,x222
the man with a big mouth,那个大嘴巴的男人,x222
the girl with a small nose,那个小鼻子女孩,x222
be late for school,上学迟到,x222
the one in red,那个穿红衣服的,x222
the woman with long hair,那个长头发的妇女,x222
the boy with big ears,大耳朵的那个男孩,x222
the one in the green shirt,那个穿绿色衬衫的男人,x222
in the car,在小汽车里,x222
my good friend,我的好朋友,x222
some grapes,一些葡萄,x222
how many kilos,多少公斤,x222
buy fruit,买水果,x222
some water,一些水,x222
her small eye,她的小眼睛,x222
play basketball,打篮球,x222
an old woman,一个老太太,x222
three kilos,三公斤,x222
I’d like,我想要,x222
these apples,这些苹果,x222
those oranges,那些桔子,x222
these or those,这些还是那些,x222
good idea,好主意,x222
play football,踢足球,x222
a glass of milk/ juice,一杯牛奶/果汁,x222
a cup of coffee/ tea,一杯咖啡/茶,x222
at a snack bar,在一家小吃店里,x222
