english,chinese,symbol,symbol_br,phrase,similar,unit
a/an,一（个）,,,,,unit-01
able,"adj.能...的,有才能的,能干的,能够的",_əbl,_əbl,,,unit-01
about,"adv.附近,大约,转向,左右,周围;prep.在附近,关于,在...周围,忙于",ə`baʊt,əˈbaut,,,unit-01
above,"adj.上面的,上述的,上文的;adv.在上面;prep.在...上方,过于,超出",ə`bʌv,əˈbʌv,,,unit-01
abroad,"adv.往国外,到处,海外,广泛,差得远,心里没有谱",ə`brɔd,əˈbrɔ:d,,,unit-01
across,"adv.横过,交叉地,在对面 prep.越过,交叉,在...的那边,在...对面那边",ə`krɔs,əˈkrɔs,across from: 在...对面; across: 从一端到另一端,through: 通过，从物体内部空间穿过,unit-01
act,"n.幕,法案,法令,动作,举动,节目,(戏剧的)幕vi.行动,产生...的效果,担当,表演,假装,表现,见效vt.扮演,装作",ækt,ækt,act in a play,,unit-01
active,"adj.积极的,能起作用的,现行的,[语法]主动的,活动的,活跃的,活性的;n.[语法] 主动语态,积极分子",`æktɪv,ˈæktiv,,,unit-01
actor,"n.男演员,行动者,参与者",`æktɚ,ˈæktə,,,unit-01
add,"vt.增加,添加,计算...总和,补充说,又说;vi.加,加起来,增添,做加法",æd,æd,,,unit-01
address,"n.地址,致辞,演讲,说话的技巧vt.向...致辞,演说,写姓名地址,从事,忙于","ə`drɛs,`ædrɛs",əˈdres,,,unit-01
advice,"n.忠告,建议,[商]通知",əd`vaɪs,ədˈvais,advice on: 有关...的建议,,unit-01
afford,"vt.提供,给予,供应得起,","ə`ford,ə`fɔrd",əˈfɔ:d,,,unit-01
afraid,"adj.害怕,担心",ə`fred,əˈfreid,be afraid of st.; be afraid to do st.,,unit-01
after,"adv.prep.conj.在...之后,在...后面,模仿,与...一致,以...命名,后来的,后面的",`æftɚ,ˈɑ:ftə,after class,,unit-01
afternoon,"n.午后,下午adv.下午的,晚期",ˌæftɚ`nun,ˌɑ:ftəˈnu:n,,,unit-01
again,"adv.又,再次,此外,再一次",ə`gɛn,əˈɡen,again and again: 一再,,unit-01
age,"n.年龄,成年,使用年限,同时期的人,时代v.变老,上年纪,成熟",edʒ,eidʒ,at the age of: 在...岁时,,unit-01
ago,"adv.以前的,以往的",ə`go,əˈɡou,an hour ago; a week ago,,unit-01
agree,"vi.同意,赞成...的意见,与...一致,承认,适合vt.同意",ə`gri,əˈɡri:,agree with: 同意,,unit-01
ahead,"adj.adv.在前,向前,提前,在前面",ə`hɛd,əˈhed,ahead of,,unit-01
air,"n.空气,样子,天空,空中,曲调vt.晾干,使通风,宣扬,夸耀,显示","ɛr,ær",ɛə,by air: 乘飞机,,unit-01
airport,"n.<主美>小型民用机场,私人飞机降落场","`ɛrˌport,-ˌpɔrt",ˈɛəpɔ:t,,,unit-01
all,"adj.全部的,所有的,整个的adv.完全,更加,越发 pron.全部",ɔl,ɔ:l,,,unit-01
almost,"adv.几乎,差不多","ɔl`most,`ɔlˌmost",ˈɔ:lmoust,,,unit-01
along,"adv.往前,向前 prep.顺着,沿着",ə`lɔŋ,əˈlɔŋ,get along with: 与...相处,,unit-01
already,adv.已经,ɔl`rɛdɪ,ɔ:lˈredi,,,unit-01
also,"adv.也,同样",`ɔlso,ˈɔ:lsou,,,unit-01
always,"adv.总是,永远,始终","`ɔlwɪz,_wəz,_wez","ˈɔ:lweiz,_wəz,_wɪz",,,unit-01
and," conj.和,及,并,然后,接着又 /conj.及(或)",,,,,unit-01
angry,"adj.生气的,愤怒的,狂暴的(风雨等)",`æŋgrɪ,ˈæŋɡri,,,unit-01
animal,n.动物,`ænəml,ˈæniml,,,unit-01
another,"adj.另外的,又一,不同的 prep.另一个,另一个人,同类的东西",ə`nʌðɚ,əˈnʌðə,one another: 彼此，相互,,unit-01
answer,"n.答案,回答,答辩,抗辩v.回答说,答复说,符合,反响,响应",`ænsɚ,ˈɑ:nsə,answer the phone,,unit-01
any,"adj.任何的,任何一种,所有的 pron.无论那一个,任何",`ɛnɪ,ˈeni,,,unit-01
anywhere,adv.无论何处,"`ɛnɪˌhwɛr,-ˌwɛr","ˈeniwɛə,_hwɛə",,,unit-02
appear,"vi.出现,看来,似乎,公开露面,出版,发表",ə`pɪr,əˈpiə,,,unit-02
army,"n.陆军,军队,大群,大军",`ɑrmɪ,ˈɑ:mi,,,unit-02
around,"adv.周围,四周,到处,大约,左右 prep.在...周围,四处",ə`raʊnd,əˈraund,,,unit-02
arrive,"vi.到达,抵达",ə`raɪv,əˈraiv,arrive at; arrive in,,unit-02
art,"n.艺术,艺术品,技术,巧妙,美术",ɑrt,ɑ:t,,,unit-02
artist,"n.艺术家,画家",`ɑrtɪst,ˈɑ:tist,,,unit-02
as,"adv.同样地,被看作,象 prep.当做 conj.与...一样,当...之时,象,因为 [域] American Samoa,东萨摩亚 [军] Air to Surface,空对地 (As)symb [化]砷 (arsenic)",,,,,unit-02
ask,"vi.询问,问,要求vt.问,要求,需要,邀请",æsk,ɑ:sk,ask for; ask the way; ask ... for help,,unit-02
at," prep.在,于,向,对准,在...方面;Austria,奥地利",,,at once: 立刻,,unit-02
attend,"vt.出席,参加,照顾,护理,注意vi.专心,留意",ə`tɛnd,əˈtend,,,unit-02
attention,"n.注意,关心,关注,注意力,(口令)立正!",ə`tɛnʃən,əˈtenʃn,pay attention to,,unit-02
aunt,"n.姑妈,伯母,舅妈,阿姨",ænt,ɑ:nt,,,unit-02
autumn,"n.秋天,成熟期,渐衰期",`ɔtəm,ˈɔ:təm,,,unit-02
away,"adv.在远处,到远处,离去",ə`we,əˈwei,"go away, get away",,unit-02
baby,n.婴孩,`bebɪ,ˈbeibi,,,unit-02
back,"adj.后面的,在后面,早过去的,前(欠)的钱adv.向后地n.背部,后面v.后退,支持",bæk,bæk,,,unit-02
bad,"adj.劣质的,有害的,坏的,不利的,不健康的,严重的",bæd,bæd,,,unit-02
bag,"n.袋子,猎获物",bæg,bæɡ,,,unit-02
bake,"v.烘焙,烤,烧硬",bek,beik,,,unit-02
ball,"n.球,球状物,子弹,舞会,尽情地玩",bɔl,bɔ:l,,,unit-02
balloon,n.气球,bə`lun,bəˈlu:n,,,unit-02
bamboo,n.竹子,bæm`bu,bæmˈbu:,,,unit-02
banana,n.香蕉,bə`nænə,bəˈnɑ:nə,,,unit-02
bank,"n.银行,堤,岸,沙洲,浅滩,一堆(土),(云)层,储藏所(库)vt.存(款)于银行,储蓄,(车或飞机)倾斜转弯",bæŋk,bæŋk,,,unit-02
bar,"n.条,棒(常用作栅栏,扣栓物),横木,酒吧间,栅,障碍物vt.禁止,阻挡,妨碍,把门关住,除...之外,(Bar)律师业 /n.条形/柱形图",bɑr,bɑ:,,,unit-02
baseball,"n.棒球,棒球运动",`besˌbɔl,ˈbeisbɔ:l,,,unit-02
basket,"n.篮,一篮",`bæskɪt,ˈbɑ:skit,,,unit-02
basketball,"n.篮球,篮球运动",,,,,unit-02
bat,"n.蝙蝠,球棒v.用球棒击球 [计] 批处理文件的扩展名 [军] Basic Armor Training,装甲兵基础训练",bæt,bæt,,,unit-02
bath,"n.沐浴,浴室",bæθ,bɑ:θ,,,unit-02
bathroom,"n.浴室,盥洗室","`bæθˌrum,_rʊm","ˈbɑ:θru:m,_rum",,,unit-02
be," prep.是,在,存在 [域] Belgium ,比利时 [军] Base Ejection,弹底喷射 symb [化]铍 Be(beryllium)",,,,,unit-02
beach,n.海滩,bitʃ,bi:tʃ,,,unit-02
beautiful,"adj.美丽的,很好的",`bjutəfəl,"ˈbju:təful,_tif_",,,unit-02
because, conj.adv.因为,"bɪ`kɔz,bə_","biˈkɔz,bə_",,,unit-03
become,"vi.变成,成为,变得vt.适合,相称",bɪ`kʌm,"biˈkʌm,bə_",,,unit-03
bed,"n.床,基础,路基,河底,海底,一堆,一层vt.安置,嵌入,使睡,栽种vi.上床,分层  教育学士 BEd(Bachelor of Education)",bɛd,bed,,,unit-03
bedroom,n.卧室,"`bɛdˌrum,_rʊm","ˈbedrum,_ru:m",,,unit-03
